year,month,ph,o2,no3,po4,si,fe,spco2,to,so
2008,3,8.119399,259.18726,1.7148129,0.1900038,4.128387,0.0011566445,31.586155,12.468581,34.338303
2008,4,8.109775,259.32394,0.80290276,0.12051911,3.6635113,0.0011457087,32.341633,13.782334,34.146523
2008,5,8.09,251.41046,0.3442263,0.08308201,3.5953414,0.0011842202,34.060978,15.381273,33.8951
2008,6,8.041309,235.98058,0.22183396,0.06172583,3.9579146,0.0014502853,38.92153,20.001297,33.87137
2008,7,8.017498,219.96477,0.13702469,0.047727827,4.1250653,0.0016246572,41.528687,23.475704,33.73587
2008,8,8.026012,214.92828,0.10138618,0.037233025,4.0296717,0.001585717,40.565292,23.689148,33.744053
2008,9,8.047894,216.74693,0.06883942,0.03824524,3.95,0.001477657,38.215878,22.295877,33.9769
2008,10,8.079616,222.3944,0.13105884,0.047109168,3.898049,0.0013504723,35.106926,20.031136,34.138065
2008,11,8.106846,230.64616,0.50691015,0.08311873,3.8209057,0.0012694005,32.706036,17.156586,34.241
2008,12,8.119062,237.60933,1.3723317,0.1502254,4.3426585,0.0012859167,31.767443,15.069263,34.36053
2009,1,8.122761,245.51254,2.3380103,0.2226726,4.988624,0.0012744727,31.567802,13.255658,34.421814
2009,2,8.123437,253.93005,2.7059703,0.25003278,4.798693,0.0012170085,31.491163,11.8683405,34.403996
2009,3,8.121673,259.41782,2.256507,0.2196164,4.3061595,0.0011522393,31.571226,11.8180275,34.300694
2009,4,8.115278,260.349,1.2635545,0.14654726,3.7308326,0.0011377465,31.971622,12.920257,34.194756
2009,5,8.090711,250.72961,0.2997464,0.06437805,3.4521499,0.0012342158,34.076614,15.996746,33.99648
2009,6,8.051589,233.51906,0.2475143,0.044124175,3.8380246,0.00138977,37.838196,19.692526,33.942154
2009,7,8.027458,221.49377,0.1846732,0.03498544,4.088072,0.0015262702,40.354977,22.143175,33.884342
2009,8,8.020257,214.11908,0.13723706,0.028289441,4.23662,0.0017004776,41.089466,23.977278,33.92707
2009,9,8.049282,215.36877,0.06797577,0.025893826,4.0628867,0.0015184388,38.0036,22.458162,34.035645
2009,10,8.083019,223.55206,0.117845766,0.040469065,3.9607074,0.0014035392,34.7772,19.975597,34.173416
2009,11,8.101416,230.85059,0.29987213,0.062837094,3.789086,0.0012760292,33.12296,18.35192,34.292904
2009,12,8.111195,237.7076,1.1914079,0.13576147,4.081016,0.001270127,32.333225,15.641035,34.37425
2010,1,8.109484,249.0703,2.772953,0.25289842,4.532373,0.0012696731,32.55984,12.68271,34.555866
2010,2,8.108542,258.49838,2.8767352,0.26797152,4.559602,0.0012487475,32.49818,11.417075,34.587364
2010,3,8.106328,264.89093,2.3656473,0.24188054,4.22397,0.0011639228,32.5645,11.612898,34.507114
2010,4,8.100162,268.73914,0.8741699,0.13715987,3.3290515,0.0011999017,33.05882,13.296766,34.267185
2010,5,8.0705,256.75833,0.30896938,0.09388203,3.4600928,0.0012763302,35.78817,15.907548,34.08821
2010,6,8.029248,236.27298,0.21009532,0.06758567,3.7997274,0.0014477808,40.09685,20.251114,33.96633
2010,7,8.005953,220.22057,0.16840956,0.05494686,4.0418444,0.0015926922,42.72273,23.768686,33.805405
2010,8,8.016648,214.6756,0.1153888,0.047403317,4.0381856,0.001571658,41.474575,24.422184,33.935417
2010,9,8.042666,216.30476,0.06475452,0.04370185,3.9574187,0.0014839576,38.693657,22.733913,33.98789
2010,10,8.076552,222.64275,0.11688191,0.052872222,3.9729917,0.0013526536,35.372364,20.205956,34.31797
2010,11,8.105646,233.17583,0.6045356,0.09962861,4.042799,0.0011923099,32.804817,17.415218,34.382755
2010,12,8.113739,240.7227,1.9318967,0.2030114,4.3078055,0.0012024794,32.223843,14.599337,34.478477
2011,1,8.107042,252.86522,3.5637004,0.31948802,4.9269657,0.0012380711,32.801693,12.274747,34.530045
2011,2,8.109282,265.10092,3.128525,0.301336,4.727198,0.0012290562,32.36342,11.5639715,34.599186
2011,3,8.111556,272.10043,1.8150431,0.21897821,4.097463,0.0011486323,32.014297,11.566948,34.392452
2011,4,8.098062,269.18823,0.9128002,0.15157042,3.8913722,0.0011720168,33.148716,13.079826,34.261433
2011,5,8.068866,253.59467,0.27644512,0.08995788,3.7562184,0.001203956,35.982327,16.472765,34.133835
2011,6,8.029537,235.05922,0.21799517,0.066605255,4.1120133,0.0014215955,40.12209,20.191582,33.773052
2011,7,8.009277,222.08878,0.150462,0.05405634,4.4124565,0.0016193403,42.32296,22.986183,33.95194
2011,8,8.0107765,215.11807,0.12307071,0.044045027,4.5307875,0.0017061795,42.09096,23.882278,33.77552
2011,9,8.035461,215.98944,0.06697062,0.041679088,4.300715,0.0015585056,39.3756,22.86427,34.00497
2011,10,8.067354,221.10735,0.09637647,0.04667471,4.132272,0.0014394824,36.154057,20.800032,34.105686
2011,11,8.099068,231.21082,0.36771291,0.07647155,3.9793746,0.0012879452,33.257935,17.636578,34.173653
2011,12,8.109134,236.15936,0.7845363,0.11066509,3.955506,0.0012766117,32.434647,16.121183,34.32393
2012,1,8.117132,243.32219,1.5978801,0.16869034,4.2966957,0.0012739504,31.846222,14.3135605,34.491795
2012,2,8.121173,251.34445,1.6484859,0.17252666,4.207753,0.0012273144,31.469133,13.234057,34.521297
2012,3,8.115818,255.91089,1.1417097,0.13201316,3.9089057,0.0012220406,31.830631,13.384799,34.408382
2012,4,8.102033,253.27263,0.6594302,0.090915464,3.8137147,0.0012441754,32.950108,14.069512,34.31524
2012,5,8.07808,242.9667,0.35133836,0.047403492,3.8548975,0.0013550404,35.140152,16.932505,34.115543
2012,6,8.053085,230.32999,0.23578905,0.03281156,3.9499986,0.0013422183,37.612965,20.041845,34.201134
2012,7,8.021988,218.3409,0.22894147,0.020324232,4.3414416,0.001619734,40.83771,23.487518,34.09932
2012,8,8.019579,211.94351,0.1698803,0.015358824,4.31589,0.0017187955,41.021435,24.886427,34.00754
2012,9,8.042544,213.97577,0.0850144,0.01826007,4.0184097,0.0015541996,38.625282,23.779888,34.02372
2012,10,8.072811,219.98633,0.10010285,0.028032843,3.9448757,0.0013861438,35.686974,21.45106,34.216278
2012,11,8.103435,229.03531,0.46624738,0.06947381,3.9148855,0.0011926212,33.017365,18.05983,34.504814
2012,12,8.112748,234.91318,1.2026947,0.1312676,3.976923,0.0012127237,32.260895,16.058483,34.5776
2013,1,8.11242,243.74463,2.2879207,0.21067019,4.602915,0.0012631123,32.3176,14.027252,34.59337
2013,2,8.115555,251.58302,2.5125866,0.23238146,4.6782026,0.0012044951,32.033764,12.866785,34.692005
2013,3,8.1169815,259.57263,2.2799337,0.223933,4.326048,0.0011065721,31.849258,12.150163,34.591938
2013,4,8.114329,264.59,1.0660175,0.13306949,3.5591247,0.0011425425,31.955956,13.051798,34.354996
2013,5,8.086667,252.30725,0.38059285,0.06706485,3.5403178,0.0012157923,34.377987,16.274897,34.253403
2013,6,8.0445,236.09409,0.18314491,0.04658547,3.9014025,0.0014118683,38.360004,19.414576,34.013615
2013,7,8.012147,219.96083,0.1207775,0.037374087,4.1326785,0.0015860714,41.855423,23.383972,33.937984
2013,8,8.02394,215.54051,0.093218125,0.028883979,4.1068654,0.0015927528,40.541023,23.421312,33.76304
2013,9,8.043775,216.67273,0.063309275,0.028252656,4.053542,0.0015425229,38.52385,22.589176,34.128178
2013,10,8.070293,221.3585,0.07802054,0.031375412,3.9654732,0.0014199754,35.94285,20.530626,34.539635
2013,11,8.100327,229.79185,0.4555106,0.07100833,4.0641627,0.0013117177,33.269672,17.705696,34.42852
2013,12,8.114371,238.77518,1.1579953,0.12871948,4.2667336,0.0012958029,32.11562,15.546486,34.513023
2014,1,8.114657,246.91989,1.974461,0.19115885,4.4849305,0.0012830849,32.08446,13.367079,34.5548
2014,2,8.116605,254.90747,2.1994462,0.20483416,4.4870024,0.0012459074,31.867453,12.672442,34.567238
2014,3,8.119362,259.4295,1.5867515,0.16715011,4.2045035,0.0011698299,31.532618,12.310461,34.494625
2014,4,8.109554,259.58185,0.9223236,0.11550007,3.8296177,0.0011398497,32.308094,13.733259,34.11592
2014,5,8.076745,250.29276,0.37517324,0.061261248,3.6996179,0.0012499383,35.29922,16.439959,34.098625
2014,6,8.038142,234.15196,0.2702538,0.039356705,3.8733327,0.0013896417,39.2122,20.106606,34.157322
2014,7,8.018821,221.65654,0.13494001,0.03094712,4.0626802,0.0014985107,41.210026,22.838509,34.346504
2014,8,8.019525,215.4234,0.1138349,0.02320227,4.0824614,0.0015736911,41.143356,23.850567,34.223366
2014,9,8.032373,214.81775,0.06788102,0.022622738,4.02902,0.0015172331,39.781372,23.28737,34.268326
2014,10,8.060031,219.94846,0.07845958,0.02860782,3.9329944,0.0014171115,36.94519,21.167883,34.43518
